"","_id","RFID","birthDate","sex","breed","category","birthWeight"
"1","5d4a27ef1e01000057004836","942 000001809925",1970-01-01,"female","Composite","breeding","0"
"2","5d4a27f11e01000057004843","942 000001839269",1970-01-01,"female","Composite","breeding","0"
"3","5d13ee400d4641af01000ee5","942 000002503421",1970-01-01,"female","Composite","breeding","0"
"4","5d4a27f31e0100005700484a","942 000002503787",1970-01-01,"female","Composite","breeding","0"
"5","5d4a27ef1e0100005700483b","942 000002547159",1970-01-01,"female","Composite","breeding","0"
"6","5d4a27f01e0100005700483f","942 000002547264",1970-01-01,"female","Composite","breeding","0"
"7","5a598b9e7f1f81045c6bf0b4","942 000002679208",1970-01-01,"female","Belmont Red","breeding","0"
"8","5d141d750d464124d5005350","942 000002679280",1970-01-01,"female","Brahman","breeding","0"
"9","5a598b9e7f1f81045c6bf0c8","942 000002679416",1970-01-01,"female","Brahman","breeding","0"
"10","5a598b9e7f1f81045c6bf0bc","942 000002679476",1970-01-01,"female","Belmont Red","breeding","0"
"11","5a598b9e7f1f81045c6befd0","942 000002679490",1970-01-01,"female","Composite","breeding","0"
"12","5a598b9e7f1f81045c6bf0dd","942 000002679646",1970-01-01,"female","Brahman","breeding","0"
"13","5a598b9e7f1f81045c6bf0e4","942 000002679726",1970-01-01,"female","Brahman","breeding","0"
"14","5a598b9e7f1f81045c6bf0db","942 000002679907",1970-01-01,"female","Brahman","breeding","0"
"15","5a598b9e7f1f81045c6bf0ad","942 000002679947",1970-01-01,"female","Composite","breeding","0"
"16","5a598b9e7f1f81045c6bf0b8","942 000002680000",1970-01-01,"female","Belmont Red","breeding","0"
"17","5a598b9e7f1f81045c6bf0b5","942 000002680070",1970-01-01,"female","Belmont Red","breeding","0"
"18","5d141d750d464124d5005351","942 000002680094",1970-01-01,"female","Brahman","breeding","0"
"19","5a598b9e7f1f81045c6bf0e2","942 000002680117",1970-01-01,"female","Brahman","breeding","0"
"20","5a598b9e7f1f81045c6bf0e8","942 000002680136",1970-01-01,"female","Brahman","breeding","0"
"21","5a598b9e7f1f81045c6bf0eb","942 000002715538",1970-01-01,"female","Brahman","breeding","0"
"22","5a598b9e7f1f81045c6bf0d8","942 000002715689",1970-01-01,"female","Brahman","breeding","0"
"23","5d1414040d464124d500534a","942 000002715820",1970-01-01,"female","Brahman","breeding","0"
"24","5d1414050d464124d500534f","942 000002716008",1970-01-01,"female","Brahman","breeding","0"
"25","5a598b9e7f1f81045c6bf0d0","942 000002719837",1970-01-01,"female","Brahman","breeding","0"
"26","5a598b9e7f1f81045c6bf0bf","942 000002719840",1970-01-01,"female","Belmont Red","breeding","0"
"27","5a598b9e7f1f81045c6bf0d4","942 000002719902",1970-01-01,"female","Brahman","breeding","0"
"28","5d4a5ea31e01000057004873","942 000002720113",1970-01-01,"female","Composite","breeding","0"
"29","5a598b9e7f1f81045c6bf0e5","942 000002720162",1970-01-01,"female","Brahman","breeding","0"
"30","5a598b9e7f1f81045c6bf0bb","942 000002720466",1970-01-01,"female","Belmont Red","breeding","0"
"31","5a598b9e7f1f81045c6bf0ce","942 000002764879",1970-01-01,"female","Belmont Red","breeding","0"
"32","5a598b9e7f1f81045c6bf0be","942 000002764953",1970-01-01,"female","Belmont Red","breeding","0"
"33","5ab19f6df16993215800498c","942 000002765021",1970-01-01,"female","Composite","breeding","0"
"34","5a598b9e7f1f81045c6bf0b9","942 000002765049",1970-01-01,"female","Brahman","breeding","0"
"35","5a598b9e7f1f81045c6bf0b0","942 000002769775",1970-01-01,"female","Belmont Red","breeding","0"
"36","5a598b9e7f1f81045c6bf0e9","942 000002770098",1970-01-01,"female","Brahman","breeding","0"
"37","5d4a27f31e0100005700484c","942 000002785399",1970-01-01,"female","Composite","breeding","0"
"38","5d13ee400d4641af01000ee3","942 000002785427",1970-01-01,"female","Composite","breeding","0"
"39","5ac4401df169931cb0007077","942 000002785521",1970-01-01,"female","Composite","breeding","0"
"40","5d4a27ef1e01000057004837","942 000002785566",1970-01-01,"female","Composite","breeding","0"
"41","5d4a27f21e01000057004845","942 000002785598",1970-01-01,"female","Composite","breeding","0"
"42","5d4a27ef1e0100005700483a","942 000002785661",1970-01-01,"female","Composite","breeding","0"
"43","5d4a27ee1e01000057004835","942 000002785912",1970-01-01,"female","Composite","breeding","0"
"44","5d4a27f21e01000057004846","942 000002786123",1970-01-01,"female","Composite","breeding","0"
"45","5d4a27f01e0100005700483d","942 000002789256",1970-01-01,"female","Composite","breeding","0"
"46","5a598b9e7f1f81045c6bf031","942 000002789262",1970-01-01,"female","Composite","breeding","0"
"47","5d4a27f21e01000057004848","942 000002789289",1970-01-01,"female","Composite","breeding","0"
"48","5d8305db337b0000660010fb","942 000005058926",1970-01-01,"female","Brahman","growing","0"
"49","5bc0173e20ba521b60004ede","942 000005122622",1970-01-01,"female","Composite","breeding","0"
"50","5e8d7a83a4150000d9007bf5","942 000005135572",1970-01-01,"female","Composite","breeding","0"
"51","5d1414040d464124d5005349","942 000007019932",1970-01-01,"female","Brahman","breeding","0"
