"","_id","RFID","birthDate","sex","breed","category","birthWeight","stationname"
"1","5a598b9e7f1f81045c6bf013","942 000002126815",1970-01-01,"female","Composite","breeding","0","Belmont"
"2","5a598b9e7f1f81045c6bf0b4","942 000002679208",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"3","5a598b9e7f1f81045c6bf0c8","942 000002679416",1970-01-01,"female","Brahman","breeding","0","Belmont"
"4","5a598b9e7f1f81045c6bf0bc","942 000002679476",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"5","5a598b9e7f1f81045c6befd0","942 000002679490",1970-01-01,"female","Composite","breeding","0","Belmont"
"6","5a598b9e7f1f81045c6bf0dd","942 000002679646",1970-01-01,"female","Brahman","breeding","0","Belmont"
"7","5a598b9e7f1f81045c6bf0c7","942 000002679679",1970-01-01,"female","Brahman","breeding","0","Belmont"
"8","5a598b9e7f1f81045c6bf0e4","942 000002679726",1970-01-01,"female","Brahman","breeding","0","Belmont"
"9","5a598b9e7f1f81045c6bf0db","942 000002679907",1970-01-01,"female","Brahman","breeding","0","Belmont"
"10","5a598b9e7f1f81045c6bf0ad","942 000002679947",1970-01-01,"female","Composite","breeding","0","Belmont"
"11","5a598b9e7f1f81045c6bf0c0","942 000002679982",1970-01-01,"female","Composite","breeding","0","Belmont"
"12","5a598b9e7f1f81045c6bf0b8","942 000002680000",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"13","5a598b9e7f1f81045c6bf0b5","942 000002680070",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"14","5a598b9e7f1f81045c6bf0e2","942 000002680117",1970-01-01,"female","Brahman","breeding","0","Belmont"
"15","5a598b9e7f1f81045c6bf0e8","942 000002680136",1970-01-01,"female","Brahman","breeding","0","Belmont"
"16","5a598b9e7f1f81045c6bf0eb","942 000002715538",1970-01-01,"female","Brahman","breeding","0","Belmont"
"17","5a598b9e7f1f81045c6bf0d8","942 000002715689",1970-01-01,"female","Brahman","breeding","0","Belmont"
"18","5a598b9e7f1f81045c6bf0d0","942 000002719837",1970-01-01,"female","Brahman","breeding","0","Belmont"
"19","5a598b9e7f1f81045c6bf0bf","942 000002719840",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"20","5a598b9e7f1f81045c6bf0d4","942 000002719902",1970-01-01,"female","Brahman","breeding","0","Belmont"
"21","5a598b9e7f1f81045c6bf0e5","942 000002720162",1970-01-01,"female","Brahman","breeding","0","Belmont"
"22","5a598b9e7f1f81045c6bf0bb","942 000002720466",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"23","5a598b9e7f1f81045c6bf0ce","942 000002764879",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"24","5a598b9e7f1f81045c6bf0be","942 000002764953",1970-01-01,"female","Belmont Red","breeding","0","Belmont"
"25","5a598b9e7f1f81045c6bf0bd","942 000002764998",1970-01-01,"female","Composite","breeding","0","Belmont"
