"","_id","RFID","birthDate","sex","breed","category","birthWeight","stationname"
"1","5d9f9f5ba00700002f0032b0","900 093000058988",2008-11-07,"female","BR","breeding","0","Tremere"
"2","5d9f9f5aa00700002f0032ac","900 093000058991",2008-10-24,"female","BR","breeding","0","Tremere"
"3","5d9f9f6ea00700002f0032f0","900 093000058992",2012-08-30,"female","BR","breeding","0","Tremere"
"4","5d9f9f83a00700002f00333a","900 093000059211",2015-12-16,"female","BR","breeding","0","Tremere"
"5","5d9f9f76a00700002f00330d","900 093000059528",2014-10-10,"female","BR","breeding","0","Tremere"
"6","5d9f9f51a00700002f00328e","900 093000059530",2006-10-16,"female","BJ","breeding","0","Tremere"
"7","5d9f9f60a00700002f0032c2","900 093000060105",2009-11-03,"female","BR","breeding","0","Tremere"
"8","5d9f9f55a00700002f00329c","900 093000060138",2007-10-06,"female","BR","breeding","0","Tremere"
"9","5d9f9f5ca00700002f0032b4","900 093000060210",2008-11-21,"female","BR","breeding","0","Tremere"
"10","5d9f9f50a00700002f00328b","900 093000060237",2006-10-15,"female","BR","breeding","0","Tremere"
"11","5d9f9f5fa00700002f0032bf","900 093000060787",2009-10-23,"female","BR","breeding","0","Tremere"
"12","5d9f9f56a00700002f00329f","900 093000060823",2007-10-17,"female","BR","breeding","0","Tremere"
"13","5d9f9f5ca00700002f0032b3","900 093000060886",2008-11-17,"female","BR","breeding","0","Tremere"
"14","5d9f9f75a00700002f00330b","900 093000066582",2014-10-02,"female","BR","breeding","0","Tremere"
"15","5d9f9f79a00700002f003317","900 093000066881",2014-11-08,"female","BR","breeding","0","Tremere"
"16","5d9f9f5fa00700002f0032be","900 093000066981",2009-10-21,"female","BR","breeding","0","Tremere"
"17","5d9f9f59a00700002f0032ab","900 093000068514",2008-10-24,"female","BR","breeding","0","Tremere"
"18","5d9f9f4fa00700002f003288","900 093000076729",2006-09-27,"female","BJ","breeding","0","Tremere"
"19","5d9f9f78a00700002f003314","900 093000081249",2014-11-04,"female","BJ","breeding","0","Tremere"
"20","5d9f9f71a00700002f0032fd","900 093000081356",2012-10-26,"female","BR","breeding","0","Tremere"
"21","5d9f9f4fa00700002f003287","900 093000081513",2006-09-28,"female","BJ","breeding","0","Tremere"
"22","5d9f9f77a00700002f003310","900 093000081720",2014-10-19,"female","BR","breeding","0","Tremere"
"23","5d9f9f58a00700002f0032a6","900 093000081758",2008-10-13,"female","BJ","breeding","0","Tremere"
"24","5d9f9f78a00700002f003315","900 093000081901",2014-11-05,"female","BJ","breeding","0","Tremere"
"25","5d9f9f65a00700002f0032d1","900 093000082935",2010-10-15,"female","BR","breeding","0","Tremere"
"26","5d9f9f7aa00700002f00331a","900 093000085073",2014-11-18,"female","BJ","breeding","0","Tremere"
"27","5d9f9f61a00700002f0032c7","900 093000090584",2009-11-14,"female","BJ","breeding","0","Tremere"
"28","5d9f9f9ea00700002f003398","900 093000090615",2008-10-08,"female","BR","breeding","0","Tremere"
"29","5d9f9f59a00700002f0032aa","900 093000097685",2008-10-24,"female","BR","breeding","0","Tremere"
"30","5d9f9f5ea00700002f0032bc","900 093000097767",2009-10-15,"female","BR","breeding","0","Tremere"
"31","5d9f9f5ca00700002f0032b5","900 093000097933",2009-09-29,"female","BJ","breeding","0","Tremere"
"32","5d9f9f61a00700002f0032c4","900 093000098365",2009-12-01,"female","BR","breeding","0","Tremere"
"33","5d9f9f5aa00700002f0032ad","900 093000099007",2008-10-27,"female","BR","breeding","0","Tremere"
"34","5d9f9f76a00700002f00330e","900 093000099109",2014-10-14,"female","BR","breeding","0","Tremere"
"35","5d9f9f76a00700002f00330c","900 093000099132",2014-10-04,"female","BR","breeding","0","Tremere"
"36","5d9f9f60a00700002f0032c3","900 116003111477",2009-11-09,"female","BR","breeding","0","Tremere"
"37","5d9f9f7da00700002f003325","900 116003112089",2015-10-21,"female","BR","breeding","0","Tremere"
"38","5d9f9f7ca00700002f003322","900 116003112159",2015-10-18,"female","BJ","breeding","0","Tremere"
"39","5d9f9f7ea00700002f003328","900 116003127286",2015-10-26,"female","BJ","breeding","0","Tremere"
"40","5d9f9f7ba00700002f00331d","900 116003177737",2015-10-11,"female","BR","breeding","0","Tremere"
"41","5d9f9f84a00700002f00333d","900 116003179583",2015-10-25,"female","BR","breeding","0","Tremere"
"42","5d9f9f80a00700002f00332f","900 116003183031",2015-11-03,"female","BR","breeding","0","Tremere"
"43","5d9f9f80a00700002f003330","900 116003184949",2015-11-03,"female","BR","breeding","0","Tremere"
"44","5d9f9f5aa00700002f0032ae","900 116003187602",2008-10-29,"female","BR","breeding","0","Tremere"
"45","5d9f9f9da00700002f003392","951 000301745576",2014-02-14,"female","BJ","breeding","0","Tremere"
"46","5d9f9f9da00700002f003393","951 000301745765",2014-01-18,"female","BJ","breeding","0","Tremere"
"47","5d9f9f95a00700002f003375","951 000302131470",2006-01-11,"female","BJ","breeding","0","Tremere"
"48","5d9f9f95a00700002f003374","951 000302131600",2005-12-09,"female","BJ","breeding","0","Tremere"
"49","5d9f9f96a00700002f003379","951 000302132339",2007-11-10,"female","BJ","breeding","0","Tremere"
"50","5d9f9fa2a00700002f0033a4","951 000302938846",2015-02-01,"female","BJ","breeding","0","Tremere"
"51","5d9f9f97a00700002f00337d","951 000305650407",2009-09-03,"female","BJ","breeding","0","Tremere"
"52","5d9f9f9aa00700002f003389","951 000305650505",2011-10-17,"female","BJ","breeding","0","Tremere"
"53","5d9f9f96a00700002f00337b","951 000305650526",2008-03-19,"female","BJ","breeding","0","Tremere"
"54","5d9f9f9aa00700002f003387","951 000305650528",2011-12-16,"female","BJ","breeding","0","Tremere"
"55","5d9f9f97a00700002f00337c","951 000305650664",2009-11-11,"female","BJ","breeding","0","Tremere"
"56","5d9f9f96a00700002f00337a","951 000305650682",2007-11-11,"female","BJ","breeding","0","Tremere"
"57","5d9f9f97a00700002f00337f","951 000305650731",2010-01-04,"female","BJ","breeding","0","Tremere"
"58","5d9f9f98a00700002f003381","951 000305650787",2010-03-13,"female","BJ","breeding","0","Tremere"
"59","5d9f9f98a00700002f003380","951 000305650867",2010-03-20,"female","BJ","breeding","0","Tremere"
"60","5d9f9f9ba00700002f00338c","951 000305651172",2013-02-16,"female","BJ","breeding","0","Tremere"
"61","5d9f9fa2a00700002f0033a7","951 000502702035",2016-03-01,"female","BJ","breeding","0","Tremere"
"62","5f62a3f46b3000000a0037e9","951 000502702089",2016-03-01,"female","xxxxxx","breeding","0","Tremere"
"63","5d9f9f52a00700002f003292","964 001004336507",2006-10-29,"female","BJ","breeding","0","Tremere"
"64","5d9f9f5ba00700002f0032b1","964 001004336657",2008-11-10,"female","BN","breeding","0","Tremere"
"65","5d9f9f62a00700002f0032c9","964 001005759199",2010-10-05,"female","BJ","breeding","0","Tremere"
"66","5d9f9f68a00700002f0032dd","964 001005759655",2010-11-01,"female","BJ","breeding","0","Tremere"
"67","5d9f9f59a00700002f0032a8","964 001005760013",2008-10-16,"female","BR","breeding","0","Tremere"
"68","5d9f9f61a00700002f0032c6","964 001005760020",2009-12-06,"female","BR","breeding","0","Tremere"
"69","5d9f9f6da00700002f0032ec","964 001005760189",2011-10-17,"female","BR","breeding","0","Tremere"
"70","5d9f9f66a00700002f0032d5","964 001005760201",2010-10-23,"female","BR","breeding","0","Tremere"
"71","5d9f9f5fa00700002f0032bd","964 001005760256",2009-10-19,"female","BR","breeding","0","Tremere"
"72","5d9f9f62a00700002f0032c8","964 001005760260",2010-01-31,"female","BR","breeding","0","Tremere"
"73","5d9f9f74a00700002f003307","964 001005760763",2013-10-07,"female","BJ","breeding","0","Tremere"
"74","5d9f9f77a00700002f003311","964 001006027337",2014-10-20,"female","BR","breeding","0","Tremere"
"75","5d9f9f7aa00700002f00331b","964 001006027725",2014-11-22,"female","BR","breeding","0","Tremere"
"76","5d9f9f78a00700002f003313","964 001006027874",2014-11-02,"female","BR","breeding","0","Tremere"
"77","5d9f9f95a00700002f003377","964 001006027940",2014-11-14,"female","BR","breeding","0","Tremere"
"78","5d9f9f9aa00700002f003388","982 000165565405",2011-03-16,"female","BJ","breeding","0","Tremere"
"79","5d9f9f68a00700002f0032db","982 000167894732",2010-11-01,"female","BJ","breeding","0","Tremere"
"80","5d9f9f6aa00700002f0032e3","982 000167896491",2011-09-23,"female","BR","breeding","0","Tremere"
